statement|probability
The probability of Yahztee in one roll|1 in 1296
The average 5-year survival rate for people with breast cancer|90 in 100 
The average 10-year survival rate|83 in 100
If the cancer is located only in the breast, the 5-year relative survival rate of people with breast cancer|99 in 100
Patients with aneurysmal subarachnoid hemorrhage (SAH) die before reaching the hospital|15 in 100
SIDS cases happen before six months of age|90 in 100
People diagnosed with early-stage lung cancer live for at least five years after diagnosis|56 in 100 
The five-year survival rate for people diagnosed with late-stage lung cancer that has spread (metastasized) to other areas of the body|5 in 100
The odds of siblings (not twins) having the same birthday|1 in 365
The one-year relative survival rate for all stages of pancreatic cancer combined|1 in 5
The five-year relative survival rate for all stages of pancreatic cancer combined|7 in 100
Patients which will go into remission after first round of chemo|70 in 100
The five-year overall survival rate for Acute Myeloid Leukemia|26 in 100
Chance of getting pregnant with just one Intrauterine Insemination cycle|15 in 100
Chance of getting pregnant with 3 to 6 Intrauterine Insemination cycles|80 in 100
For males diagnosed with a primary malignant brain and spinal cord tumor (including lymphoma and leukemia, tumors of the pituitary and pineal glands, and tumors of the nose), the five-year survival rates|288 in 1000
For females diagnosed with a primary malignant brain and spinal cord tumor (including lymphoma and leukemia, tumors of the pituitary and pineal glands, and tumors of the nose), the five-year survival rates|316 in 1000
Pregnancies which are multiple birth|1 in 67
If you are a fraternal twin, chance of having twins|1 in 17
chance for anything to happen from the anesthesia| 1 in 100000
Vasectomy reversing itself| 1 in 4000
The overall failure rate for vasectomy rate|15 in 10000
The chance of winning the National Lottery jackpot| 1 in 13983816
The chance of getting five numbers plus the bonus ball| 1 in 2330636
the odds of winning powerball|1 in 292000000
The odds of winning or sharing a Mega Millions jackpot|1 in 258900000
The odds of winning the Classic 47 jackpot|1 in 10737573
winning the Mega Millions game|1 in 302575350
the odds of a plane crash| 1 in 1200000
the odds of dying in plane crash|1 in 11000000
chances of dying in a car or traffic accident| 1 in 5000
the yearly probability of another caldera-forming eruption in Yellowstone|1 in 730000
The risk of having unprotected sex and getting pregnant three days prior to ovulation|15 in 100
